	MLH3_expression
TCGA-DU-7301-01	1.720714347931684
TCGA-P5-A5EW-01	2.902493751465461
TCGA-E1-A7YN-01	4.286330909031906
TCGA-QH-A6XC-01	3.34859132088007
TCGA-S9-A6WN-01	2.2619206494919237
TCGA-S9-A7R2-01	3.665261631748128
TCGA-DB-A64L-01	4.217848823233283
TCGA-TM-A84I-01	2.640108902107269
TCGA-QH-A6CZ-01	3.310845923504224
TCGA-WY-A858-01	2.4803168984061736
TCGA-VM-A8CF-01	3.758169397588516
TCGA-HT-7608-01	3.005795902334385
TCGA-S9-A7IQ-01	3.671376173290588
TCGA-CS-4938-01	2.9021274957491454
TCGA-DU-8166-01	4.041236581157204
TCGA-HT-8018-01	3.4713728676403925
TCGA-DU-7292-01	3.740933588972344
TCGA-S9-A6TU-01	3.325468814654919
TCGA-FG-6691-01	3.3445870001181595
TCGA-DU-5849-01	3.7135388907789695
TCGA-DU-6399-01	3.5242975037372672
TCGA-DU-5855-01	3.2806300682359133
TCGA-S9-A6WI-01	3.664077057324712
TCGA-DB-A64S-01	3.1475211986161247
TCGA-FG-6692-01	4.1925777963492035
TCGA-R8-A6YH-01	4.372227739154268
TCGA-QH-A65S-01	3.3198827948816727
TCGA-DU-A7TJ-01	3.86594986758703
TCGA-TM-A84H-01	4.572368642794029
TCGA-S9-A7R8-01	4.031494239213258
TCGA-VM-A8C9-01	3.6895598319370695
TCGA-S9-A7R4-01	4.089963517300081
TCGA-S9-A7J3-01	4.319768974592768
TCGA-TM-A84L-01	3.98399600499556
TCGA-E1-A7YH-01	4.460741015186139
TCGA-P5-A5EV-01	3.1547743788640314
TCGA-DU-A7TD-01	4.701452877360643
TCGA-HW-A5KL-01	2.9637794798605115
TCGA-HT-7687-01	3.7604248573387253
TCGA-WY-A85A-01	3.38191303631409
TCGA-DB-5281-01	3.8357083533070337
TCGA-E1-A7YK-01	3.977177598781158
TCGA-DU-A5TU-01	4.38938319592534
TCGA-DU-A7TA-01	2.1394777597091372
TCGA-CS-5395-01	4.019294506187601
TCGA-TQ-A7RR-01	3.4391293621664576
TCGA-HT-A5R5-01	3.8822618866515386
TCGA-HT-A618-01	3.6302930692873416
TCGA-S9-A6WP-01	2.6877129058531537
TCGA-S9-A6U5-01	2.396138529551615
TCGA-E1-A7YO-01	4.472953615121142
TCGA-QH-A6X8-01	4.413212563254369
TCGA-HT-7610-01	3.2160672807824806
TCGA-HT-7875-01	1.9679436707813969
TCGA-DU-7304-02	2.755288390154658
TCGA-S9-A6WD-01	2.4065941291199504
TCGA-HT-A74J-01	3.568060853550945
TCGA-P5-A5F0-01	2.750293861578183
TCGA-R8-A73M-01	3.0217375212581983
TCGA-S9-A6TS-01	3.244017458825726
TCGA-S9-A6TW-01	1.7699460038796329
TCGA-E1-5303-01	2.8275144847928466
TCGA-HT-7606-01	3.9354998043840688
TCGA-DU-6408-01	2.549108078137828
TCGA-FG-5964-01	2.600016837830464
TCGA-DB-A64Q-01	3.82999095068644
TCGA-S9-A7IZ-01	3.522770845363824
TCGA-S9-A6WH-01	3.107704246374838
TCGA-HT-7602-01	3.7695374349989237
TCGA-DU-A6S8-01	2.6127589403903952
TCGA-HT-7858-01	3.69352979559398
TCGA-R8-A6ML-01	4.2283731285823025
TCGA-HT-7860-01	4.287962028828625
TCGA-DU-7006-01	4.312458770023588
TCGA-DU-7009-01	3.877724924295004
TCGA-DU-7010-01	2.9239612157385486
TCGA-QH-A6X3-01	2.0597431275208566
TCGA-DU-8164-01	3.4289068644270406
TCGA-DU-7018-01	3.8665818802525895
TCGA-HT-7693-01	3.7510452231193847
TCGA-HT-8106-01	4.235720459954326
TCGA-HT-7472-01	3.7394761360007056
TCGA-DB-A4XG-01	2.035097765844756
TCGA-HT-A5RC-01	3.858317343253436
